ds,y
2022-11-17,253.31007751937986
2022-11-18,253.66795865633074
2022-11-19,254.02583979328165
2022-11-20,254.38372093023256
2022-11-21,254.74160206718346
2022-11-22,255.09948320413437
2022-11-23,255.45736434108528
2022-11-24,255.8152454780362
2022-11-25,256.1731266149871
2022-11-26,256.531007751938
2022-11-27,256.8888888888889
2022-11-28,257.2467700258398
2022-11-29,257.6046511627907
2022-11-30,257.9625322997416
2022-12-01,258.3204134366925
2022-12-02,258.6782945736434
2022-12-03,259.0361757105943
2022-12-04,259.39405684754524
2022-12-05,259.7519379844961
2022-12-06,260.109819121447
2022-12-07,260.46770025839794
2022-12-08,260.8255813953488
2022-12-09,261.18346253229976
2022-12-10,261.54134366925064
2022-12-11,261.8992248062016
2022-12-12,262.25710594315245
2022-12-13,262.6149870801034
2022-12-14,262.97286821705427
2022-12-15,263.33074935400515
2022-12-16,263.6886304909561
2022-12-17,264.04651162790697
2022-12-18,264.4043927648579
2022-12-19,264.7622739018088
2022-12-20,265.1201550387597
2022-12-21,265.4780361757106
2022-12-22,265.8359173126615
2022-12-23,266.1937984496124
2022-12-24,266.5516795865633
2022-12-25,266.90956072351423
2022-12-26,267.2674418604651
2022-12-27,267.62532299741605
2022-12-28,267.98320413436693
2022-12-29,268.3410852713178
2022-12-30,268.69896640826875
2022-12-31,269.0568475452196
2023-01-01,269.41472868217056
2023-01-02,269.77260981912144
2023-01-03,270.1304909560724
2023-01-04,270.48837209302326
2023-01-05,270.84625322997414
2023-01-06,271.2041343669251
2023-01-07,271.56201550387595
2023-01-08,271.9198966408269
2023-01-09,272.27777777777777
2023-01-10,272.6356589147287
2023-01-11,272.9935400516796
2023-01-12,273.35142118863047
2023-01-13,273.7093023255814
2023-01-14,274.0671834625323
2023-01-15,274.4250645994832
2023-01-16,274.7829457364341
2023-01-17,275.14082687338504
2023-01-18,275.4987080103359
2023-01-19,275.8565891472868
2023-01-20,276.21447028423773
2023-01-21,276.5723514211886
2023-01-22,276.93023255813955
2023-01-23,277.28811369509043
2023-01-24,277.64599483204137
2023-01-25,278.00387596899225
2023-01-26,278.3617571059432
2023-01-27,278.71963824289406
2023-01-28,279.07751937984494
2023-01-29,279.4354005167959
2023-01-30,279.79328165374676
2023-01-31,280.1511627906977
2023-02-01,280.5090439276486
2023-02-02,280.8669250645995
2023-02-03,281.2248062015504
2023-02-04,281.5826873385013
2023-02-05,281.9405684754522
2023-02-06,282.2984496124031
2023-02-07,282.656330749354
2023-02-08,283.0142118863049
2023-02-09,283.37209302325584
2023-02-10,283.7299741602067
2023-02-11,284.0878552971576
2023-02-12,284.44573643410854
2023-02-13,284.8036175710594
2023-02-14,285.16149870801036
2023-02-15,285.51937984496124
2023-02-16,285.8772609819122
2023-02-17,286.23514211886305
2023-02-18,286.59302325581393
2023-02-19,286.95090439276487
2023-02-20,287.30878552971575
2023-02-21,287.6666666666667
2023-02-22,288.02454780361757
2023-02-23,288.3824289405685
2023-02-24,288.7403100775194
2023-02-25,289.09819121447026
2023-02-26,289.4560723514212
2023-02-27,289.8139534883721
2023-02-28,290.171834625323
2023-03-01,290.5297157622739
2023-03-02,290.88759689922483
2023-03-03,291.2454780361757
2023-03-04,291.6033591731266
2023-03-05,291.9612403100775
2023-03-06,292.3191214470284
2023-03-07,292.67700258397934
2023-03-08,293.0348837209302
2023-03-09,293.39276485788116
2023-03-10,293.75064599483204
2023-03-11,294.1085271317829
2023-03-12,294.46640826873386
2023-03-13,294.82428940568474
2023-03-14,295.1821705426357
2023-03-15,295.54005167958655
2023-03-16,295.8979328165375
2023-03-17,296.25581395348837
2023-03-18,296.6136950904393
2023-03-19,296.9715762273902
2023-03-20,297.32945736434107
2023-03-21,297.687338501292
2023-03-22,298.0452196382429
2023-03-23,298.4031007751938
2023-03-24,298.7609819121447
2023-03-25,299.11886304909564
2023-03-26,299.4767441860465
2023-03-27,299.8346253229974
2023-03-28,300.19250645994833
2023-03-29,300.5503875968992
2023-03-30,300.90826873385015
2023-03-31,301.26614987080103
2023-04-01,301.62403100775197
2023-04-02,301.98191214470285
2023-04-03,302.3397932816537
2023-04-04,302.69767441860466
2023-04-05,303.05555555555554
2023-04-06,303.4134366925065
2023-04-07,303.77131782945736
2023-04-08,304.1291989664083
2023-04-09,304.4870801033592
2023-04-10,304.84496124031006
2023-04-11,305.202842377261
2023-04-12,305.5607235142119
2023-04-13,305.9186046511628
2023-04-14,306.2764857881137
2023-04-15,306.6343669250646
2023-04-16,306.9922480620155
2023-04-17,307.3501291989664
2023-04-18,307.7080103359173
2023-04-19,308.0658914728682
2023-04-20,308.42377260981914
2023-04-21,308.78165374677
2023-04-22,309.13953488372096
2023-04-23,309.49741602067184
2023-04-24,309.8552971576227
2023-04-25,310.21317829457365
2023-04-26,310.57105943152453
2023-04-27,310.92894056847547
2023-04-28,311.28682170542635
2023-04-29,311.6447028423773
2023-04-30,312.00258397932816
2023-05-01,312.3604651162791
2023-05-02,312.71834625323
2023-05-03,313.07622739018086
